ID,FIRST_RELEVANT
57777,2
57775,1
57774,1
57773,1
57771,6
57770,1
57769,1
57768,1
57767,1
57766,3
57765,2
57764,3
57763,1
57762,2
57761,22
57760,4
57759,1
57758,2
57757,1
57756,2
57755,1
57754,2
57753,1
57752,1
57751,2
57750,1
57749,5
57748,1
57747,3
57746,2
57745,1
57744,3
57743,2
57742,16
57741,1
57740,1
57739,1
57738,1
57736,5
57735,8
57734,1
57733,2
57732,1
57731,1
57730,1
57729,3
57728,1
57727,1
57726,1
57725,6
57724,3
57723,2
57722,2
57721,2
57720,3
57719,3
57718,-1
57717,1
57716,1
57715,31
57714,7
57713,1
57712,1
57711,4
57709,13
57708,1
57707,1
57706,1
57705,1
57704,28
57703,19
57702,1
57701,1
57700,1
57699,3
57697,1
57696,3
57695,80
57694,6
57693,1
57692,2
57691,2
57689,1
57688,1
57687,1
57686,15
57685,2
57684,1
57682,1
57681,6
57680,1
57679,1
57678,16
57677,2
57676,12
57675,1
57674,10
57673,1
57672,1
57671,2
57670,4
57669,1
57668,1
57667,40
57666,2
57665,1
57664,1
57660,3
57659,1
57658,1
57657,4
57656,8
57655,3
57654,4
57653,1
57652,2
57651,5
57650,2
57649,1
57648,2
57647,1
57646,4
57645,1
57644,2
57643,3
57642,4
57641,8
57640,1
57639,2
57637,1
57636,19
57635,2
57634,1
57633,1
57632,2
57631,1
57630,1
57628,2
57627,2
57626,2
57625,1
57624,2
57623,2
57622,6
57621,12
57620,2
57619,1
57618,1
57617,11
57616,2
57615,1
57614,11
57613,1
57611,2
57610,2
57609,1
57608,6
57607,18
57606,1
57604,1
57603,18
57602,1
57600,9
57599,-1
57598,1
57597,13
57596,1
57595,1
57594,1
57593,1
57592,5
57591,3
57590,1
57589,2
57587,1
57586,6
57585,4
57584,1
57583,3
57582,2
57581,1
57580,1
57579,15
57578,10
57577,2
57576,5
57575,1
57574,4
57573,1
57572,9
57571,1
57570,6
57569,2
57568,1
57567,1
57566,2
57565,1
57564,1
57563,1
57562,1
57561,1
57560,1
57559,1
57558,1
57557,1
57556,1
57555,1
57554,1
57553,1
57552,1
57551,4
57550,1
57549,1
57548,1
57547,4
57546,1
57545,1
57544,1
57543,2
57542,1
57541,1
57540,1
57539,1
57537,1
57536,5
57535,1
57534,1
57533,5
57532,3
57531,1
57530,1
57529,2
57528,1
57527,2
57526,2
57525,1
57523,1
57522,1
57521,1
57520,2
57518,1
57517,1
57516,3
57515,1
57514,1
57513,1
57512,1
57511,1
57510,1
57509,2
57508,3
57507,1
57506,1
57505,1
57504,1
57502,7
57501,1
57499,1
57498,1
57497,1
57496,1
57495,1
57494,1
57493,1
57492,2
57491,1
57489,6
57488,2
57487,11
57486,18
57485,3
57484,2
57483,6
57482,13
57481,1
57480,2
57479,1
57478,1
57477,1
57476,2
57475,1
57474,2
57471,1
57470,4
57469,4
57468,1
57467,1
57466,10
57463,1
57462,5
57461,1
57460,34
57459,3
57458,8
57457,4
57456,12
57455,1
57454,1
57453,1
57452,2
57451,1
57450,1
57449,1
57448,1
57447,2
57445,1
57444,1
57443,1
57442,2
57441,1
57440,2
57439,1
57438,5
57437,2
57436,7
57435,3
57434,1
57433,1
57432,1
57431,1
57430,1
57429,1
57428,1
57427,1
57425,1
57424,1
57423,2
57422,4
57421,1
57420,1
57419,1
57418,1
57417,50
57416,1
57415,2
57414,2
57413,1
57412,3
57411,1
57410,1
